backswing, 往后撤拍（准备击球）
deception, 假动作
preliminary feint, （发球时的）假动作
delivery of service, 发球动作
full strike, 全力击球
full swing, 全力挥拍
high backhand stroke, 上手反拍击球
overhand stroke, 上手击球（高于头顶的击球）
overhead stroke, 打头顶球（位于头顶的击球）
round-the-head stroke, 绕头顶击球
shoulder-high drive, 与肩齐高的平抽球
side-arm stroke, 侧手球（回击位于身体侧面的球）
underhand stroke, 低手击球
strike, 击（球）
intercept, 截击
cut, 切球
smash, 杀球
Forehand smash,正手杀球
Backhand smash,反手杀球
Around the head smash,过顶杀球
consecutive kill,连续扣杀
drive,平抽球
return,回球
retrieve, 救球
rushing, ①冲上网②扑球
sliding step, 滑步
Footwork,步法
Drop shot, 吊球
Drive, 平击球、平抽球
Net play, 网前击球（技术）
Net shot,网前放小球、网前搓球
Net Kill, 网前扑球
Net Lift,网前挑球（推后场）
clear, 平高球
high clear, 高远球
cross-court, 斜线球
deep shot, 深球（打到对方底线附近的球）
drive, 平抽球
driven clear, 平抽高球
drop shot, 吊网前球
lift, 近网挑球
hairpin shot, “夹发针”球（在网前贴近地面的轻挑短球）
low shot, 低平球
straight, 直线球
descent, （球）下降
flight, （球）飞行