水馬赤いなあいうえお, あめんぼあかいなあいうえお
浮藻に小蝦も泳いでる, うきもにこえびもおよいでる
柿の木栗の木かきくけこ, かきのきくりのきかきくけこ
啄木鳥こつこつ枯れ欅, きつつきこつこつかれけやき
大角豆に酢をかけさしすせそ, ささげにすをかけさしすせそ
その魚浅瀬で刺しました, そのうおあさせでさしました
立ちましょ喇叭でたちつてと, たちましょらっぱでたちつてと
トテトテタッタと飛び立った, とてとてたったととびたった
蛞蝓のろのろなにぬねの, なめくじのろのろなにぬねの
納戸にぬめってなにねばる, なんどにぬめってなにねばる
鳩ポッポほろほろはひふへほ, はとぽっぽほろほろはひふへほ
日向のお部屋にゃ笛を吹く, ひなたのおへやにゃふえをふく
蝸牛ネジ巻まみむめも, まいまいねじまきまみむめも
梅の実落ちても見もしまい, うめのみおちてもみもしまい
焼栗ゆで栗やいゆえよ, やきぐりゆでぐりやいゆえよ
山田に灯のつくよいの家, やまだにひのつくよいのいえ
雷鳥寒かろらりるれろ, らいちょうさむかろらりるれろ
蓮花が咲いたら瑠璃の鳥, れんげがさいたらるりのとり
わいわいわっしょいわゐうゑを, わいわいわっしょいわゐうゑを
植木屋井戸換へお祭りだ, うえきやいどがえおまつりだ