此れ,これ,这个
本,ほん,书
其れ,それ,那个
ノート,,note，笔记本
彼れ,あれ,那个
教科書,きょうかしょ,教科书
何,なに,什么
机,つくえ,桌子
椅子,いす,椅子
窓,まど,窗户
辞書,じしょ,辞典
どれ,,哪个
ペン,,pen，钢笔
今日,きょう,今天
昨日,きのう,昨天
明日,あした,明天
日曜日,にちようび,星期日
月曜日,げつようび,星期一
火曜日,かようび,星期二
水曜日,すいようび,星期三
木曜日,もくようび,星期四
金曜日,きんようび,星期五
土曜日,どようび,星期六
いや,,不，不是
そうだ,,是，是的
何曜日,なんようび,星期几
一昨日,おととい,前天
いいえ,,不，不是
明後日,あさって,后天
私,わたし,我
中国人,ちゅうごくじん,中国人
大学生,だいがくせい,大学生
あなた,,你
はい,,对，是
友だち,ともだち,朋友
どなた,,哪位，谁
先生,せんせい,老师
あの方,あのかた,那位，他
あの人,あのひと,那个人，他
誰,だれ,谁
兄,あに,哥哥
お兄さん,おにいさん,哥哥（尊称）
以前,いぜん,以前，过去
労働者,ろうどうしゃ,工人
今,いま,现在
中学校,ちゅうがっこう,中学
鉛筆,えんぴつ,铅笔
あの,,那个
鞄,かばん,书包
帽子,ぼうし,帽子
みんな,,大家，都
其の,その,那个
オーバ,,over，大衣，外套
どの,,哪个
ボールペン,,ballpen，圆珠笔
此の,この,这个
家,いえ,家（house）
ある